Parent Airline,Airline,Aircraft Type,Current,Future,Historic,Total,Unit Cost,Total Cost (Current),Average Age
Aegean Airlines,Aegean Airlines,Airbus A319,1,,3,4,$90,$90,11.6
Aegean Airlines,Olympic Air,Airbus A319,,,8,8,$90,$0,
Aegean Airlines,Aegean Airlines,Airbus A320,38,,3,41,$98,"$3,724",7.5
Aegean Airlines,Olympic Air,Airbus A320,,,9,9,$98,$0,
Aegean Airlines,Aegean Airlines,Airbus A321,8,,,8,$115,$919,10.3
Aegean Airlines,Aegean Airlines,Boeing 737,,,17,17,$74,$0,
Aerolineas Argentinas,Aerolineas Argentinas,Airbus A310,,,5,5,$75,$0,
Aerolineas Argentinas,Aerolineas Argentinas,Airbus A320,,,2,2,$98,$0,
Aerolineas Argentinas,Aerolineas Argentinas,Airbus A330,9,1,,10,$240,"$2,160",9.3
Aerolineas Argentinas,Aerolineas Argentinas,Airbus A340,5,,8,13,$216,"$1,078",19.3
Aerolineas Argentinas,Aerolineas Argentinas,Boeing 737,40,1,77,118,$74,"$2,959",6.6
Aerolineas Argentinas,Austral Líneas Aéreas,Boeing 737,,,8,8,$74,$0,
Aerolineas Argentinas,Aerolineas Argentinas,Boeing 747,,,17,17,$316,$0,
Aerolineas Argentinas,Aerolineas Argentinas,Boeing 757,,,1,1,$73,$0,
Air Algerie,Air Algerie,Airbus A300,,,2,2,$75,$0,
Air Algerie,Air Algerie,Airbus A310,,,6,6,$75,$0,
Air Algerie,Air Algerie,Airbus A320,,,4,4,$98,$0,
Air Algerie,Air Algerie,Airbus A330,8,,4,12,$240,"$1,920",8.1
Air Algerie,Air Algerie,Airbus A340,,,3,3,$216,$0,
Air Algerie,Air Algerie,Boeing 737,31,1,38,70,$74,"$2,293",8.6
Air Algerie,Air Algerie,Boeing 747,,,14,14,$316,$0,
Air Algerie,Air Algerie,Boeing 767,2,,7,9,$187,$374,26.3
Air Algerie,Air Algerie,Boeing 777,,,2,2,$295,$0,
Air Algerie,Air Algerie,Boeing 787,,,,,$265,$0,
Air Arabia,Air Arabia,Airbus A320,38,,28,66,$98,"$3,724",2.9
Air Arabia,Air Arabia Egypt,Airbus A320,1,,2,3,$98,$98,9.6
Air Arabia,Air Arabia Jordan,Airbus A320,2,,1,3,$98,$196,10
Air Arabia,Air Arabia Maroc,Airbus A320,5,,5,10,$98,$490,4.4
Air Astana,Air Astana,Airbus A319,1,,,1,$90,$90,8.4
Air Astana,Air Astana,Airbus A320,9,,6,15,$98,$882,3.6
Air Astana,Air Astana,Airbus A321,4,,,4,$115,$460,10.6
Air Astana,Air Astana,Boeing 737,,,4,4,$74,$0,
Air Astana,Air Astana,Boeing 757,5,,,5,$73,$363,19.5
Air Astana,Air Astana,Boeing 767,3,,2,5,$187,$561,3
Air Astana,Air Astana,Boeing 787,,,,,$265,$0,
Air Berlin,Air Berlin,Airbus A319,6,,15,21,$90,$538,8.5
Air Berlin,Air Berlin,Airbus A320,54,7,50,111,$98,"$5,292",7.6
Air Berlin,Air Berlin,Airbus A321,21,,2,23,$115,"$2,413",6
Air Berlin,Air Berlin,Airbus A330,15,2,3,20,$240,"$3,600",13.1
Air Berlin,Air Berlin,Boeing 737,14,,141,155,$74,"$1,036",9.5
Air Berlin,Air Berlin,Boeing 757,,,4,4,$73,$0,
Air Canada,Air Canada,Airbus A319,15,,33,48,$90,"$1,344",18.9
Air Canada,Air Canada Jetz,Airbus A319,3,,2,5,$90,$269,18.7
Air Canada,Air Canada Rouge,Airbus A319,20,,,20,$90,"$1,792",18.6
Air Canada,Air Canada,Airbus A320,42,,13,55,$98,"$4,116",23.3
Air Canada,Air Canada Jetz,Airbus A320,,,5,5,,$0,
Air Canada,Air Canada,Airbus A321,15,,3,18,$115,"$1,724",13.7
Air Canada,Air Canada Rouge,Airbus A321,5,,,5,$115,$575,1
Air Canada,Air Canada,Airbus A330,8,,,8,$240,"$1,920",16.3
Air Canada,Air Canada,Airbus A340,,,15,15,$216,$0,
