Airline ID,Name,Alias,IATA,ICAO,Callsign,Country,Active
Unknown,-,N/A,\N
Private flight,-,N/A,
1Time Airline,1T,RNX,South Africa
40-Mile Air,Q5,MLA,United States
Ansett Australia,AN,AAA,Australia
Abacus International,1B,,Singapore
Aigle Azur,ZI,AAF,France
Aloha Airlines,AQ,AAH,United States
American Airlines,AA,AAL,United States
Asiana Airlines,OZ,AAR,Republic of Korea
Askari Aviation,4K,AAS,Pakistan
Afriqiyah Airways,8U,AAW,Libya
Allegiant Air,G4,AAY,United States
ABSA - Aerolinhas Brasileiras,M3,TUS,Brazil
Astral Aviation,8V,ACP,Kenya
Air Tindi,8T,,Canadian Territories
Ada Air,ZY,ADE,Albania
Adria Airways,JP,ADR,Slovenia
Air Europa,UX,AEA,Spain
Aero Benin,EM,AEB,Benin
Aegean Airlines,A3,AEE,Greece
Air Europe,PE,AEL,Italy
Alaska Central Express,KO,AER,United States
ACES Colombia,,AES,Colombia
Astraeus,5W,AEU,United Kingdom
Aerosvit Airlines,VV,AEW,Ukraine
Air Italy,I9,AEY,Italy
Alliance Airlines,QQ,UTY,Australia
Ariana Afghan Airlines,FG,AFG,Afghanistan
Aeroflot Russian Airlines,SU,AFL,Russia
Air Bosna,JA,BON,Bosnia and Herzegovina
Air France,AF,AFR,France
Air Caledonie International,SB,ACI,France
Air Salone,2O,,Sierra Leone
Air Cargo Carriers,2Q,SNC,United States
Air Namibia,SW,NMB,Namibia
Aerolitoral,5D,SLI,Mexico
Air Glaciers,7T,AGV,Switzerland
Aviogenex,,AGX,Serbia
Aeroper,PL,PLI,Peru
Atlas Blue,8A,BMM,Morocco
Azerbaijan Airlines,J2,AHY,Azerbaijan
Avies,U3,AIA,Estonia
Airblue,ED,ABQ,Pakistan
Airlift International,,AIR,United States
Air Berlin,AB,BER,Germany
Air India Limited,AI,AIC,India
Air Bourbon,ZB,BUB,Reunion
Air Atlanta Icelandic,CC,ABD,Iceland
Air Tahiti Nui,TN,THT,France
Arkia Israel Airlines,IZ,AIZ,Israel
Air Jamaica,JM,AJM,Jamaica
Air One,AP,ADH,Italy
Air Sahara,S2,RSH,India
Air Malta,KM,AMC,Malta
Air Japan,NQ,AJX,Japan
Air Korea Co. Ltd.,,AKA,Republic of Korea
Air Kiribati,4A,AKL,Kiribati
America West Airlines,HP,AWE,United States
Air Wisconsin,ZW,AWI,United States
Tatarstan Airlines,U9,TAK,Russia
Allegheny Commuter Airlines,,ALO,United States
Air Sunshine,,RSI,United States
Air Libert,VD,,France
Air Malawi,QM,AML,Malawi
