Name,City,Country,IATA,ICAO,Latitude,Longitude,Altitude,Timezone,TZ
Goroka Airport,Goroka,Papua New Guinea,GKA,AYGA,-6.081689835,145.3919983,5282.0,10.0,Pacific/Port_Moresby
Madang Airport,Madang,Papua New Guinea,MAG,AYMD,-5.207079887,145.7890015,20.0,10.0,Pacific/Port_Moresby
Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,HGU,AYMH,-5.826789856,144.2960052,5388.0,10.0,Pacific/Port_Moresby
Nadzab Airport,Nadzab,Papua New Guinea,LAE,AYNZ,-6.569803,146.725977,239.0,10.0,Pacific/Port_Moresby
Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,POM,AYPY,-9.443380356,147.2200012,146.0,10.0,Pacific/Port_Moresby
Wewak International Airport,Wewak,Papua New Guinea,WWK,AYWK,-3.583830118,143.6690063,19.0,10.0,Pacific/Port_Moresby
Narsarsuaq Airport,Narssarssuaq,Greenland,UAK,BGBW,61.16049957,-45.42599869,112.0,-3.0,America/Godthab
Godthaab / Nuuk Airport,Godthaab,Greenland,GOH,BGGH,64.19090271,-51.67810059,283.0,-3.0,America/Godthab
Kangerlussuaq Airport,Sondrestrom,Greenland,SFJ,BGSF,67.0122219,-50.71160316,165.0,-3.0,America/Godthab
Thule Air Base,Thule,Greenland,THU,BGTL,76.53119659,-68.70320129,251.0,-4.0,America/Thule
Akureyri Airport,Akureyri,Iceland,AEY,BIAR,65.66000366,-18.0727005,6.0,0.0,Atlantic/Reykjavik
EgilsstaÃ°ir Airport,Egilsstadir,Iceland,EGS,BIEG,65.28330231,-14.40139961,76.0,0.0,Atlantic/Reykjavik
HornafjÃ¶rÃ°ur Airport,Hofn,Iceland,HFN,BIHN,64.295601,-15.2272,24.0,0.0,Atlantic/Reykjavik
HÃºsavÃ­k Airport,Husavik,Iceland,HZK,BIHU,65.952301,-17.426001,48.0,0.0,Atlantic/Reykjavik
ÃsafjÃ¶rÃ°ur Airport,Isafjordur,Iceland,IFJ,BIIS,66.05809784,-23.13529968,8.0,0.0,Atlantic/Reykjavik
Keflavik International Airport,Keflavik,Iceland,KEF,BIKF,63.98500061,-22.60560036,171.0,0.0,Atlantic/Reykjavik
PatreksfjÃ¶rÃ°ur Airport,Patreksfjordur,Iceland,PFJ,BIPA,65.555801,-23.965,11.0,0.0,Atlantic/Reykjavik
Reykjavik Airport,Reykjavik,Iceland,RKV,BIRK,64.12999725,-21.94059944,48.0,0.0,Atlantic/Reykjavik
SiglufjÃ¶rÃ°ur Airport,Siglufjordur,Iceland,SIJ,BISI,66.133301,-18.9167,10.0,0.0,Atlantic/Reykjavik
Vestmannaeyjar Airport,Vestmannaeyjar,Iceland,VEY,BIVM,63.42430115,-20.27890015,326.0,0.0,Atlantic/Reykjavik
Sault Ste Marie Airport,Sault Sainte Marie,Canada,YAM,CYAM,46.48500061,-84.50939941,630.0,-5.0,America/Toronto
Winnipeg / St. Andrews Airport,Winnipeg,Canada,,CYAV,50.0564003,-97.03250122,760.0,-6.0,America/Winnipeg
Halifax / CFB Shearwater Heliport,Halifax,Canada,,CYAW,44.639702,-63.499401,144.0,-4.0,America/Halifax
St. Anthony Airport,St. Anthony,Canada,YAY,CYAY,51.39189911,-56.08309937,108.0,-3.5,America/St_Johns
Tofino / Long Beach Airport,Tofino,Canada,YAZ,CYAZ,49.079833,-125.775583,80.0,-8.0,America/Vancouver
Kugaaruk Airport,Pelly Bay,Canada,YBB,CYBB,68.534401,-89.808098,56.0,-7.0,America/Edmonton
Baie Comeau Airport,Baie Comeau,Canada,YBC,CYBC,49.13249969,-68.20439911,71.0,-5.0,America/Toronto
CFB Bagotville,Bagotville,Canada,YBG,CYBG,48.33060074,-70.99639893,522.0,-5.0,America/Toronto
Baker Lake Airport,Baker Lake,Canada,YBK,CYBK,64.29889679,-96.07779694,59.0,-6.0,America/Winnipeg
Campbell River Airport,Campbell River,Canada,YBL,CYBL,49.95080185,-125.2710037,346.0,-8.0,America/Vancouver
Brandon Municipal Airport,Brandon,Canada,YBR,CYBR,49.91,-99.951897,1343.0,-6.0,America/Winnipeg
Cambridge Bay Airport,Cambridge Bay,Canada,YCB,CYCB,69.10810089,-105.1380005,90.0,-7.0,America/Edmonton
Nanaimo Airport,Nanaimo,Canada,YCD,CYCD,49.05497022,-123.8698626,92.0,-8.0,America/Vancouver
Castlegar/West Kootenay Regional Airport,Castlegar,Canada,YCG,CYCG,49.29639816,-117.6320038,1624.0,-8.0,America/Vancouver
Miramichi Airport,Chatham,Canada,YCH,CYCH,47.007801,-65.449203,108.0,-4.0,America/Halifax
Charlo Airport,Charlo,Canada,YCL,CYCL,47.990799,-66.330299,132.0,-4.0,America/Halifax
Kugluktuk Airport,Coppermine,Canada,YCO,CYCO,67.816704,-115.143997,74.0,-7.0,America/Edmonton
Coronation Airport,Coronation,Canada,YCT,CYCT,52.07500076,-111.4449997,2595.0,-7.0,America/Edmonton
Chilliwack Airport,Chilliwack,Canada,YCW,CYCW,49.15280151,-121.939003,32.0,-8.0,America/Vancouver
Clyde River Airport,Clyde River,Canada,YCY,CYCY,70.48609924,-68.51670074,87.0,-5.0,America/Toronto
Coral Harbour Airport,Coral Harbour,Canada,YZS,CYZS,64.19329834,-83.35939789,210.0,-5.0,America/Coral_Harbour
Dawson City Airport,Dawson,Canada,YDA,CYDA,64.04309845,-139.128006,1215.0,-8.0,America/Vancouver
Burwash Airport,Burwash,Canada,YDB,CYDB,61.37110138,-139.0410004,2647.0,-8.0,America/Vancouver
Princeton Airport,Princeton,Canada,,CYDC,49.4681015,-120.5110016,2298.0,-8.0,America/Vancouver
Deer Lake Airport,Deer Lake,Canada,YDF,CYDF,49.21080017,-57.39139938,72.0,-3.5,America/St_Johns
Dease Lake Airport,Dease Lake,Canada,YDL,CYDL,58.42219925,-130.0319977,2600.0,-8.0,America/Vancouver
Dauphin Barker Airport,Dauphin,Canada,YDN,CYDN,51.10079956,-100.052002,999.0,-6.0,America/Winnipeg
Dawson Creek Airport,Dawson Creek,Canada,YDQ,CYDQ,55.74229813,-120.1829987,2148.0,-7.0,America/Dawson_Creek
Edmonton International Airport,Edmonton,Canada,YEG,CYEG,53.30970001,-113.5800018,2373.0,-7.0,America/Edmonton
Arviat Airport,Eskimo Point,Canada,YEK,CYEK,61.09420013,-94.07080078,32.0,-6.0,America/Winnipeg
Estevan Airport,Estevan,Canada,YEN,CYEN,49.21030045,-102.9660034,1905.0,-6.0,America/Regina
Edson Airport,Edson,Canada,YET,CYET,53.57889938,-116.4649963,3043.0,-7.0,America/Edmonton
Eureka Airport,Eureka,Canada,YEU,CYEU,79.99469757,-85.81420136,256.0,-6.0,America/Winnipeg
Inuvik Mike Zubko Airport,Inuvik,Canada,YEV,CYEV,68.30419922,-133.4830017,224.0,-7.0,America/Edmonton
Iqaluit Airport,Iqaluit,Canada,YFB,CYFB,63.756402,-68.555801,110.0,-5.0,America/Toronto
Fredericton Airport,Fredericton,Canada,YFC,CYFC,45.8689003,-66.53720093,68.0,-4.0,America/Halifax
Forestville Airport,Forestville,Canada,YFE,CYFE,48.74610138,-69.09719849,293.0,-5.0,America/Toronto
Flin Flon Airport,Flin Flon,Canada,YFO,CYFO,54.67810059,-101.6819992,997.0,-6.0,America/Winnipeg
Fort Resolution Airport,Fort Resolution,Canada,YFR,CYFR,61.18080139,-113.6900024,526.0,-7.0,America/Edmonton
Fort Simpson Airport,Fort Simpson,Canada,YFS,CYFS,61.7602005,-121.2369995,555.0,-7.0,America/Edmonton
Kingston Norman Rogers Airport,Kingston,Canada,YGK,CYGK,44.22529984,-76.59690094,305.0,-5.0,America/Toronto
La Grande RiviÃ¨re Airport,La Grande Riviere,Canada,YGL,CYGL,53.62530136,-77.70420074,639.0,-5.0,America/Toronto
GaspÃ© (Michel-Pouliot) Airport,Gaspe,Canada,YGP,CYGP,48.77529907,-64.47859955,112.0,-5.0,America/Toronto
Geraldton Greenstone Regional Airport,Geraldton,Canada,YGQ,CYGQ,49.77830124,-86.93939972,1144.0,-5.0,America/Toronto
Ãles-de-la-Madeleine Airport,Iles De La Madeleine,Canada,YGR,CYGR,47.42470169,-61.77809906,35.0,-5.0,America/Toronto
Hudson Bay Airport,Hudson Bay,Canada,YHB,CYHB,52.81669998,-102.310997,1175.0,-6.0,America/Regina
Dryden Regional Airport,Dryden,Canada,YHD,CYHD,49.831699,-92.744202,1354.0,-6.0,America/Winnipeg
Ulukhaktok Holman Airport,Holman Island,Canada,YHI,CYHI,70.76280212,-117.8059998,117.0,-7.0,America/Edmonton
Gjoa Haven Airport,Gjoa Haven,Canada,YHK,CYHK,68.63559723,-95.84970093,152.0,-7.0,America/Edmonton
John C. Munro Hamilton International Airport,Hamilton,Canada,YHM,CYHM,43.17359924,-79.93499756,780.0,-5.0,America/Toronto
MontrÃ©al / Saint-Hubert Airport,Montreal,Canada,YHU,CYHU,45.51750183,-73.41690063,90.0,-5.0,America/Toronto
Hay River / Merlyn Carter Airport,Hay River,Canada,YHY,CYHY,60.83969879,-115.7829971,541.0,-7.0,America/Edmonton
Halifax / Stanfield International Airport,Halifax,Canada,YHZ,CYHZ,44.88079834,-63.50859833,477.0,-4.0,America/Halifax
Atikokan Municipal Airport,Atikokan,Canada,YIB,CYIB,48.77389908,-91.63860321,1408.0,-5.0,America/Coral_Harbour
Pond Inlet Airport,Pond Inlet,Canada,YIO,CYIO,72.6832962,-77.96669769,181.0,-5.0,America/Toronto
St Jean Airport,St. Jean,Canada,YJN,CYJN,45.29439926,-73.28109741,136.0,-5.0,America/Toronto
Stephenville Airport,Stephenville,Canada,YJT,CYJT,48.5442009,-58.54999924,84.0,-3.5,America/St_Johns
Kamloops Airport,Kamloops,Canada,YKA,CYKA,50.70220184,-120.4440002,1133.0,-8.0,America/Vancouver
Waterloo Airport,Waterloo,Canada,YKF,CYKF,43.46080017,-80.37860107,1055.0,-5.0,America/Toronto
Schefferville Airport,Schefferville,Canada,YKL,CYKL,54.80530167,-66.80529785,1709.0,-5.0,America/Toronto
Kindersley Airport,Kindersley,Canada,YKY,CYKY,51.51750183,-109.1809998,2277.0,-6.0,America/Regina
Buttonville Municipal Airport,Toronto,Canada,YKZ,CYKZ,43.86220169,-79.37000275,650.0,-5.0,America/Toronto
Chapleau Airport,Chapleau,Canada,YLD,CYLD,47.81999969,-83.34670258,1470.0,-5.0,America/Toronto
Meadow Lake Airport,Meadow Lake,Canada,YLJ,CYLJ,54.12530136,-108.5230026,1576.0,-6.0,America/Regina
Lloydminster Airport,Lloydminster,Canada,YLL,CYLL,53.30920029,-110.072998,2193.0,-7.0,America/Edmonton
Alert Airport,Alert,Canada,YLT,CYLT,82.51779938,-62.2806015,100.0,-5.0,America/Toronto
Kelowna International Airport,Kelowna,Canada,YLW,CYLW,49.95610046,-119.3779984,1421.0,-8.0,America/Vancouver
Mayo Airport,Mayo,Canada,YMA,CYMA,63.61640167,-135.8679962,1653.0,-8.0,America/Vancouver
Moose Jaw Air Vice Marshal C. M. McEwen Airport,Moose Jaw,Canada,YMJ,CYMJ,50.33029938,-105.5589981,1892.0,-6.0,America/Regina
Fort McMurray Airport,Fort Mcmurray,Canada,YMM,CYMM,56.65330124,-111.2220001,1211.0,-7.0,America/Edmonton
Moosonee Airport,Moosonee,Canada,YMO,CYMO,51.29109955,-80.60780334,30.0,-5.0,America/Toronto
Maniwaki Airport,Maniwaki,Canada,YMW,CYMW,46.27280045,-75.99060059,656.0,-5.0,America/Toronto
Montreal International (Mirabel) Airport,Montreal,Canada,YMX,CYMX,45.679501,-74.038696,270.0,-5.0,America/Toronto
Natashquan Airport,Natashquan,Canada,YNA,CYNA,50.18999863,-61.78919983,39.0,-5.0,America/Toronto
Ottawa / Gatineau Airport,Gatineau,Canada,YND,CYND,45.52170181,-75.56359863,211.0,-5.0,America/Toronto
Matagami Airport,Matagami,Canada,YNM,CYNM,49.76169968,-77.80280304,918.0,-5.0,America/Toronto
Old Crow Airport,Old Crow,Canada,YOC,CYOC,67.57060242,-139.8390045,824.0,-8.0,America/Vancouver
CFB Cold Lake,Cold Lake,Canada,YOD,CYOD,54.40499878,-110.2789993,1775.0,-7.0,America/Edmonton
High Level Airport,High Level,Canada,YOJ,CYOJ,58.62139893,-117.1650009,1110.0,-7.0,America/Edmonton
Ottawa Macdonald-Cartier International Airport,Ottawa,Canada,YOW,CYOW,45.32249832,-75.66919708,374.0,-5.0,America/Toronto
Prince Albert Glass Field,Prince Albert,Canada,YPA,CYPA,53.21419907,-105.6729965,1405.0,-6.0,America/Regina
Peace River Airport,Peace River,Canada,YPE,CYPE,56.226898,-117.446999,1873.0,-7.0,America/Edmonton
