ï»¿Parent Airline,Airline,Aircraft Type,Current,Future,Historic,Total,Unit Cost,Total Cost (Current),Average Age
Aegean Airlines,Aegean Airlines,Airbus A319,1.0,,3.0,4.0,90.0,90.0,11.6
Aegean Airlines,Olympic Air,Airbus A319,,,8.0,8.0,90.0,0.0,
Aegean Airlines,Aegean Airlines,Airbus A320,38.0,,3.0,41.0,98.0,3.724,7.5
Aegean Airlines,Olympic Air,Airbus A320,,,9.0,9.0,98.0,0.0,
Aegean Airlines,Aegean Airlines,Airbus A321,8.0,,,8.0,115.0,919.0,10.3
Aegean Airlines,Olympic Air,ATR 42/72,2.0,,,2.0,22.0,44.0,2.4
Aegean Airlines,Aegean Airlines,ATR 42/72,,,6.0,6.0,22.0,0.0,
Aegean Airlines,Aegean Airlines,Boeing 737,,,17.0,17.0,74.0,0.0,
Aegean Airlines,Aegean Airlines,British Aerospace BAe 146/Avro RJ,,,6.0,6.0,14.0,0.0,
Aegean Airlines,Olympic Air,De Havilland Canada DHC-8 Dash 8,12.0,,7.0,19.0,31.0,376.0,12.6
Aerolineas Argentinas,Aerolineas Argentinas,Airbus A310,,,5.0,5.0,75.0,0.0,
Aerolineas Argentinas,Aerolineas Argentinas,Airbus A320,,,2.0,2.0,98.0,0.0,
Aerolineas Argentinas,Aerolineas Argentinas,Airbus A330,9.0,1.0,,10.0,240.0,2.16,9.3
Aerolineas Argentinas,Aerolineas Argentinas,Airbus A340,5.0,,8.0,13.0,216.0,1.078,19.3
Aerolineas Argentinas,Aerolineas Argentinas,Boeing 737,40.0,1.0,77.0,118.0,74.0,2.959,6.6
Aerolineas Argentinas,Austral LÃ­neas AÃ©reas,Boeing 737,,,8.0,8.0,74.0,0.0,
Aerolineas Argentinas,Aerolineas Argentinas,Boeing 747,,,17.0,17.0,316.0,0.0,
Aerolineas Argentinas,Aerolineas Argentinas,Boeing 757,,,1.0,1.0,73.0,0.0,
Aerolineas Argentinas,Austral LÃ­neas AÃ©reas,Embraer ERJ-190,26.0,1.0,,27.0,46.0,1.201,5.4
Aerolineas Argentinas,Austral LÃ­neas AÃ©reas,McDonnell Douglas DC-9,,,14.0,14.0,45.0,0.0,
Aerolineas Argentinas,Aerolineas Argentinas,McDonnell Douglas MD-80,,,7.0,7.0,45.0,0.0,
Aerolineas Argentinas,Austral LÃ­neas AÃ©reas,McDonnell Douglas MD-80,,,28.0,28.0,45.0,0.0,
Air Algerie,Air Algerie,Airbus A300,,,2.0,2.0,75.0,0.0,
Air Algerie,Air Algerie,Airbus A310,,,6.0,6.0,75.0,0.0,
Air Algerie,Air Algerie,Airbus A320,,,4.0,4.0,98.0,0.0,
Air Algerie,Air Algerie,Airbus A330,8.0,,4.0,12.0,240.0,1.92,8.1
Air Algerie,Air Algerie,Airbus A340,,,3.0,3.0,216.0,0.0,
Air Algerie,Air Algerie,ATR 42/72,15.0,,,15.0,22.0,332.0,10.4
