ï»¿Parent Airline,Airline,Aircraft Type,Current,Future,Historic,Total,Unit Cost,Total Cost (Current),Average Age
Aegean Airlines,Aegean Airlines,Airbus A319,1,0,3,4,90000000.0,90000000.0,11.6
Aegean Airlines,Olympic Air,Airbus A319,0,0,8,8,90000000.0,0.0,
Aegean Airlines,Aegean Airlines,Airbus A320,38,0,3,41,98000000.0,3724000.0,7.5
Aegean Airlines,Olympic Air,Airbus A320,0,0,9,9,98000000.0,0.0,
Aegean Airlines,Aegean Airlines,Airbus A321,8,0,0,8,115000000.0,919000000.0,10.3
Aegean Airlines,Olympic Air,ATR 42/72,2,0,0,2,22000000.0,44000000.0,2.4
Aegean Airlines,Aegean Airlines,ATR 42/72,0,0,6,6,22000000.0,0.0,
Aegean Airlines,Aegean Airlines,Boeing 737,0,0,17,17,74000000.0,0.0,
Aegean Airlines,Aegean Airlines,British Aerospace BAe 146/Avro RJ,0,0,6,6,14000000.0,0.0,
Aegean Airlines,Olympic Air,De Havilland Canada DHC-8 Dash 8,12,0,7,19,31000000.0,376000000.0,12.6
Aerolineas Argentinas,Aerolineas Argentinas,Airbus A310,0,0,5,5,75000000.0,0.0,
Aerolineas Argentinas,Aerolineas Argentinas,Airbus A320,0,0,2,2,98000000.0,0.0,
Aerolineas Argentinas,Aerolineas Argentinas,Airbus A330,9,1,0,10,240000000.0,2160000.0,9.3
Aerolineas Argentinas,Aerolineas Argentinas,Airbus A340,5,0,8,13,216000000.0,1078000.0,19.3
Aerolineas Argentinas,Aerolineas Argentinas,Boeing 737,40,1,77,118,74000000.0,2959000.0,6.6
Aerolineas Argentinas,Austral LÃ­neas AÃ©reas,Boeing 737,0,0,8,8,74000000.0,0.0,
Aerolineas Argentinas,Aerolineas Argentinas,Boeing 747,0,0,17,17,316000000.0,0.0,
Aerolineas Argentinas,Aerolineas Argentinas,Boeing 757,0,0,1,1,73000000.0,0.0,
Aerolineas Argentinas,Austral LÃ­neas AÃ©reas,Embraer ERJ-190,26,1,0,27,46000000.0,1201000.0,5.4
Aerolineas Argentinas,Austral LÃ­neas AÃ©reas,McDonnell Douglas DC-9,0,0,14,14,45000000.0,0.0,
Aerolineas Argentinas,Aerolineas Argentinas,McDonnell Douglas MD-80,0,0,7,7,45000000.0,0.0,
Aerolineas Argentinas,Austral LÃ­neas AÃ©reas,McDonnell Douglas MD-80,0,0,28,28,45000000.0,0.0,
Air Algerie,Air Algerie,Airbus A300,0,0,2,2,75000000.0,0.0,
Air Algerie,Air Algerie,Airbus A310,0,0,6,6,75000000.0,0.0,
Air Algerie,Air Algerie,Airbus A320,0,0,4,4,98000000.0,0.0,
Air Algerie,Air Algerie,Airbus A330,8,0,4,12,240000000.0,1920000.0,8.1
Air Algerie,Air Algerie,Airbus A340,0,0,3,3,216000000.0,0.0,
Air Algerie,Air Algerie,ATR 42/72,15,0,0,15,22000000.0,332000000.0,10.4
Air Algerie,Air Algerie,Boeing 737,31,1,38,70,74000000.0,2293000.0,8.6
Air Algerie,Air Algerie,Boeing 747,0,0,14,14,316000000.0,0.0,
Air Algerie,Air Algerie,Boeing 767,2,0,7,9,187000000.0,374000000.0,26.3
Air Algerie,Air Algerie,Boeing 777,0,0,2,2,295000000.0,0.0,
Air Algerie,Air Algerie,Boeing 787,0,0,0,0,265000000.0,0.0,
Air Algerie,Air Algerie,McDonnell Douglas DC-10,0,0,2,2,145000000.0,0.0,
Air Algerie,Air Algerie,McDonnell Douglas DC-8,0,0,24,24,6000000.0,0.0,
Air Arabia,Air Arabia,Airbus A320,38,0,28,66,98000000.0,3724000.0,2.9
Air Arabia,Air Arabia Egypt,Airbus A320,1,0,2,3,98000000.0,98000000.0,9.6
Air Arabia,Air Arabia Jordan,Airbus A320,2,0,1,3,98000000.0,196000000.0,10.0
Air Arabia,Air Arabia Maroc,Airbus A320,5,0,5,10,98000000.0,490000000.0,4.4
