ï»¿Parent Airline,Airline,Aircraft Type,Current,Future,Historic,Total,Unit Cost,Total Cost (Current),Average Age
aegean airlines,aegean airlines,Airbus A319,1,0,3,4,90000000.0,90000000.0,11.6
aegean airlines,olympic air,Airbus A319,0,0,8,8,90000000.0,0.0,
aegean airlines,aegean airlines,Airbus A320,38,0,3,41,98000000.0,3724000.0,7.5
aegean airlines,olympic air,Airbus A320,0,0,9,9,98000000.0,0.0,
aegean airlines,aegean airlines,Airbus A321,8,0,0,8,115000000.0,919000000.0,10.3
aegean airlines,olympic air,ATR 42/72,2,0,0,2,22000000.0,44000000.0,2.4
aegean airlines,aegean airlines,ATR 42/72,0,0,6,6,22000000.0,0.0,
aegean airlines,aegean airlines,Boeing 737,0,0,17,17,74000000.0,0.0,
aegean airlines,aegean airlines,British Aerospace BAe 146/Avro RJ,0,0,6,6,14000000.0,0.0,
aegean airlines,olympic air,De Havilland Canada DHC-8 Dash 8,12,0,7,19,31000000.0,376000000.0,12.6
aeroflot,aeroflot,Airbus A310,0,0,14,14,75000000.0,0.0,
aeroflot,rossiya airlines,Airbus A319,26,0,5,31,90000000.0,2330000.0,12.7
aeroflot,aeroflot,Airbus A319,0,0,15,15,90000000.0,0.0,
aeroflot,aurora airlines,Airbus A319,10,0,0,10,90000000.0,896000000.0,11.0
aeroflot,aeroflot,Airbus A320,71,1,3,75,98000000.0,6958000.0,5.7
aeroflot,rossiya airlines,Airbus A320,5,0,8,13,98000000.0,490000000.0,15.2
aeroflot,aeroflot,Airbus A321,31,0,8,39,115000000.0,3562000.0,3.6
aeroflot,aeroflot,Airbus A330,22,0,0,22,240000000.0,5280000.0,5.9
aeroflot,aeroflot,Airbus A350,0,0,0,0,312000000.0,0.0,
aeroflot,aeroflot,Antonov An-124,0,0,3,3,75000000.0,0.0,
aeroflot,rossiya airlines,Antonov An-124,0,0,2,2,75000000.0,0.0,
aeroflot,rossiya airlines,Antonov An-148/An-158,0,0,6,6,28000000.0,0.0,
aeroflot,aeroflot,Boeing 737,20,1,16,37,74000000.0,1480000.0,1.6
aeroflot,pobeda,Boeing 737,12,0,0,12,74000000.0,888000000.0,2.1
aeroflot,rossiya airlines,Boeing 737,17,1,5,23,74000000.0,1258000.0,9.6
aeroflot,aurora airlines,Boeing 737,0,0,5,5,74000000.0,0.0,
aeroflot,rossiya airlines,Boeing 747,7,2,0,9,316000000.0,2211000.0,16.7
aeroflot,aeroflot,Boeing 767,0,0,13,13,187000000.0,0.0,
aeroflot,rossiya airlines,Boeing 767,0,0,3,3,187000000.0,0.0,
aeroflot,aeroflot,Boeing 777,15,0,2,17,295000000.0,4418000.0,2.5
aeroflot,rossiya airlines,Boeing 777,6,5,1,12,295000000.0,1767000.0,17.7
aeroflot,aeroflot,Boeing 787,0,0,0,0,265000000.0,0.0,
aeroflot,aurora airlines,De Havilland Canada DHC-8 Dash 8,8,2,1,12,31000000.0,250000000.0,14.8
aeroflot,rossiya airlines,Ilyushin Il-62,0,0,1,1,45000000.0,0.0,
aeroflot,aeroflot,Ilyushin Il-96,0,0,10,10,45000000.0,0.0,
aeroflot,rossiya airlines,Ilyushin Il-96,0,0,5,5,45000000.0,0.0,
aeroflot,aeroflot,Irkut MC-21,0,0,0,0,82000000.0,0.0,
aeroflot,aeroflot,McDonnell Douglas DC-10,0,0,3,3,145000000.0,0.0,
aeroflot,aeroflot,McDonnell Douglas MD-11,0,0,3,3,175000000.0,0.0,
aeroflot,rossiya airlines,Sukhoi Superjet 100,0,0,0,0,28000000.0,0.0,
aeroflot,aeroflot,Sukhoi Superjet 100,30,0,10,40,28000000.0,825000000.0,2.2
aeroflot,aeroflot,Tupolev Tu-134,0,0,1,1,16000000.0,0.0,
aeroflot,rossiya airlines,Tupolev Tu-154,0,0,1,1,16000000.0,0.0,
aeroflot,aeroflot,Tupolev Tu-204,0,0,3,3,16000000.0,0.0,
