from_airport_code,from_country,dest_airport_code,dest_country,aircraft_type,airline_number,airline_name,flight_number,departure_time,arrival_time,duration,stops,price,currency,co2_emissions,avg_co2_emission_for_this_route,co2_percentage,scan_date
ALG,Algeria,CAI,Egypt,Boeing 737,MS,[EgyptAir],MS846,2022-05-29 12:55:00,2022-05-29 17:30:00,215,0,350.00,USD,327000,454000,-27%,2022-04-29 17:52:59
ALG,Algeria,CDG,France,Boeing 737,5O,[ASL Airlines],5O162,2022-04-30 10:20:00,2022-04-30 13:40:00,140,0,97.00,USD,210000,186000,12%,2022-04-29 17:52:59
ALG,Algeria,CAI,Egypt,Boeing 737,MS,[EgyptAir],MS846,2022-07-28 12:55:00,2022-07-28 17:30:00,215,0,350.00,USD,327000,454000,-27%,2022-04-29 17:52:59
ALG,Algeria,CDG,France,Boeing 737,5O,[ASL Airlines],5O162,2022-05-02 10:20:00,2022-05-02 13:40:00,140,0,202.00,USD,186000,186000,0%,2022-04-29 17:52:59
ALG,Algeria,CDG,France,Boeing 737,5O,[ASL Airlines],5O272,2022-05-02 17:00:00,2022-05-02 20:20:00,140,0,230.00,USD,186000,186000,0%,2022-04-29 17:52:59
ALG,Algeria,CDG,France,Airbus A321,AF,[Air France],AF1855,2022-05-02 12:45:00,2022-05-02 16:20:00,155,0,344.00,USD,171000,186000,-7%,2022-04-29 17:52:59
ALG,Algeria,CDG,France,Boeing 737,5O,[ASL Airlines],5O272,2022-05-06 17:00:00,2022-05-06 20:20:00,140,0,451.00,USD,186000,186000,0%,2022-04-29 17:52:59
ALG,Algeria,CDG,France,Boeing 737,5O,[ASL Airlines],5O368,2022-05-06 17:20:00,2022-05-06 20:40:00,140,0,451.00,USD,210000,186000,12%,2022-04-29 17:52:59
ALG,Algeria,CDG,France,Airbus A320,AF,[Air France],AF1755,2022-05-06 16:25:00,2022-05-06 20:00:00,155,0,650.00,USD,158000,186000,-15%,2022-04-29 17:52:59
ALG,Algeria,CDG,France,Boeing 777,AF,[Air France],AF1855,2022-05-06 14:20:00,2022-05-06 17:55:00,155,0,908.00,USD,683000,186000,267%,2022-04-29 17:52:59
ALG,Algeria,FRA,Germany,Airbus A321neo,LH,[Lufthansa],LH1317,2022-04-30 12:35:00,2022-04-30 16:10:00,155,0,361.00,USD,148000,290000,-48%,2022-04-29 17:52:59
ALG,Algeria,CDG,France,Boeing 737,5O,[ASL Airlines],5O162,2022-05-14 10:20:00,2022-05-14 13:40:00,140,0,374.00,USD,186000,186000,0%,2022-04-29 17:52:59
ALG,Algeria,CDG,France,Boeing 737,5O,[ASL Airlines],5O272,2022-05-14 17:00:00,2022-05-14 20:20:00,140,0,374.00,USD,210000,186000,12%,2022-04-29 17:52:59
ALG,Algeria,CDG,France,Boeing 777,AF,[Air France],AF4145,2022-05-14 13:05:00,2022-05-14 16:40:00,155,0,555.00,USD,168000,186000,-9%,2022-04-29 17:52:59
ALG,Algeria,CDG,France,Airbus A320,AF,[Air France],AF1755,2022-05-14 16:25:00,2022-05-14 20:00:00,155,0,555.00,USD,150000,186000,-19%,2022-04-29 17:52:59
ALG,Algeria,FRA,Germany,Airbus A321neo,LH,[Lufthansa],LH1317,2022-05-02 12:25:00,2022-05-02 16:00:00,155,0,361.00,USD,148000,290000,-48%,2022-04-29 17:52:59
ALG,Algeria,CDG,France,Boeing 737,5O,[ASL Airlines],5O162,2022-05-29 10:20:00,2022-05-29 13:40:00,140,0,297.00,USD,210000,186000,12%,2022-04-29 17:52:59
ALG,Algeria,CDG,France,Airbus A320,AF,[Air France],AF1855,2022-05-29 12:45:00,2022-05-29 16:20:00,155,0,650.00,USD,158000,186000,-15%,2022-04-29 17:52:59
ALG,Algeria,CDG,France,Boeing 737,5O,[ASL Airlines],5O272,2022-07-28 17:00:00,2022-07-28 20:20:00,140,0,230.00,USD,186000,186000,0%,2022-04-29 17:52:59
ALG,Algeria,CDG,France,Boeing 737,5O,[ASL Airlines],5O368,2022-08-27 20:55:00,2022-08-28 00:15:00,140,0,496.00,USD,186000,186000,0%,2022-04-29 17:52:59
ALG,Algeria,CDG,France,Boeing 737,5O,[ASL Airlines],5O162,2022-08-27 10:20:00,2022-08-27 13:40:00,140,0,551.00,USD,186000,186000,0%,2022-04-29 17:52:59
ALG,Algeria,CDG,France,Boeing 737,5O,[ASL Airlines],5O272,2022-08-27 17:00:00,2022-08-27 20:20:00,140,0,606.00,USD,210000,186000,12%,2022-04-29 17:52:59
ALG,Algeria,CDG,France,Airbus A319,AF,[Air France],AF1755,2022-08-27 16:55:00,2022-08-27 20:30:00,155,0,908.00,USD,283000,186000,52%,2022-04-29 17:52:59
ALG,Algeria,FRA,Germany,Airbus A319,LH,[Lufthansa],LH1317,2022-08-27 12:35:00,2022-08-27 16:10:00,155,0,453.00,USD,202000,290000,-30%,2022-04-29 17:52:59
ALG,Algeria,FCO,Rome,Airbus A320,AZ,[ITA],AZ803,2022-05-02 04:25:00,2022-05-02 07:10:00,105,0,183.00,USD,158000,284000,-44%,2022-04-29 17:52:59
ALG,Algeria,FCO,Rome,Airbus A320,AZ,[ITA],AZ801,2022-05-06 13:55:00,2022-05-06 16:40:00,105,0,305.00,USD,158000,284000,-44%,2022-04-29 17:52:59
ALG,Algeria,FCO,Rome,Airbus A320,AZ,[ITA],AZ803,2022-05-29 04:25:00,2022-05-29 07:10:00,105,0,183.00,USD,158000,284000,-44%,2022-04-29 17:52:59
ALG,Algeria,DOH,Qatar,Airbus A330,QR,[Qatar Airways],QR1380,2022-04-30 15:20:00,2022-04-30 23:25:00,365,0,617.00,USD,558000,574000,-2%,2022-04-29 17:52:59
ALG,Algeria,DOH,Qatar,Airbus A330,QR,[Qatar Airways],QR1380,2022-05-02 15:20:00,2022-05-02 23:25:00,365,0,597.00,USD,558000,574000,-2%,2022-04-29 17:52:59
ALG,Algeria,DOH,Qatar,Airbus A330,QR,[Qatar Airways],QR1380,2022-05-06 15:20:00,2022-05-06 23:25:00,365,0,823.00,USD,444000,574000,-22%,2022-04-29 17:52:59
ALG,Algeria,DOH,Qatar,Airbus A330,QR,[Qatar Airways],QR1380,2022-05-14 15:20:00,2022-05-14 23:25:00,365,0,617.00,USD,558000,574000,-2%,2022-04-29 17:52:59
ALG,Algeria,DOH,Qatar,Airbus A330,QR,[Qatar Airways],QR1380,2022-05-29 15:20:00,2022-05-29 23:25:00,365,0,803.00,USD,444000,574000,-22%,2022-04-29 17:52:59
ALG,Algeria,DOH,Qatar,Airbus A350,QR,[Qatar Airways],QR1380,2022-08-27 15:20:00,2022-08-27 23:25:00,365,0,617.00,USD,421000,574000,-26%,2022-04-29 17:52:59
ALG,Algeria,MAD,Spain,Canadair RJ 1000,IB,[Iberia],IB8805,2022-05-02 13:10:00,2022-05-02 15:45:00,95,0,356.00,USD,112000,297000,-62%,2022-04-29 17:52:59
ALG,Algeria,IST,Turkey,Airbus A330,TK,[Turkish Airlines],TK652,2022-04-30 13:15:00,2022-04-30 18:40:00,205,0,474.00,USD,243000,379000,-35%,2022-04-29 17:52:59
ALG,Algeria,IST,Turkey,Airbus A321,TK,[Turkish Airlines],TK652,2022-05-02 13:15:00,2022-05-02 18:40:00,205,0,474.00,USD,274000,379000,-27%,2022-04-29 17:52:59
ALG,Algeria,IST,Turkey,Airbus A330,AH,[Air Algerie],AH3016,2022-05-02 10:00:00,2022-05-02 15:15:00,195,0,523.00,USD,312000,379000,-17%,2022-04-29 17:52:59
ALG,Algeria,IST,Turkey,Airbus A321,TK,[Turkish Airlines],TK652,2022-05-06 13:15:00,2022-05-06 18:40:00,205,0,825.00,USD,411000,379000,8%,2022-04-29 17:52:59
ALG,Algeria,IST,Turkey,Airbus A330,TK,[Turkish Airlines],TK652,2022-05-14 13:15:00,2022-05-14 18:40:00,205,0,825.00,USD,854000,379000,125%,2022-04-29 17:52:59
ALG,Algeria,IST,Turkey,Airbus A330,TK,[Turkish Airlines],TK652,2022-05-29 13:15:00,2022-05-29 18:40:00,205,0,474.00,USD,271000,379000,-28%,2022-04-29 17:52:59
ALG,Algeria,IST,Turkey,Airbus A330,TK,[Turkish Airlines],TK652,2022-07-28 13:15:00,2022-07-28 18:40:00,205,0,474.00,USD,243000,379000,-35%,2022-04-29 17:52:59
ALG,Algeria,IST,Turkey,Airbus A330,TK,[Turkish Airlines],TK652,2022-08-27 13:15:00,2022-08-27 18:40:00,205,0,474.00,USD,243000,379000,-35%,2022-04-29 17:52:59
ALG,Algeria,DXB,United Arab Emirates,Boeing 777,EK,[Emirates],EK758,2022-05-14 17:25:00,2022-05-15 02:45:00,380,0,470.00,USD,558000,635000,-12%,2022-04-29 17:52:59
ALG,Algeria,DXB,United Arab Emirates,Boeing 777,EK,[Emirates],EK758,2022-05-29 16:35:00,2022-05-30 02:00:00,385,0,433.00,USD,558000,635000,-12%,2022-04-29 17:52:59
ALG,Algeria,DXB,United Arab Emirates,Boeing 777,EK,[Emirates],EK758,2022-07-28 15:45:00,2022-07-29 01:05:00,380,0,433.00,USD,558000,635000,-12%,2022-04-29 17:52:59
ALG,Algeria,LHR,United Kingdom,Airbus A320,BA,[British Airways],BA2547,2022-05-02 12:00:00,2022-05-02 15:05:00,185,0,275.00,USD,177000,254000,-30%,2022-04-29 17:52:59
ALG,Algeria,DXB,United Arab Emirates,Boeing 777,EK,[Emirates],EK758,2022-08-27 15:45:00,2022-08-28 01:05:00,380,0,433.00,USD,558000,635000,-12%,2022-04-29 17:52:59
